id,分類,機能名,概要,入力,出力,利用者
FUN-001,応募,コンテスト告知サイト表示,コンテストの告知サイトを表示する。紹介者から知らされた者のみが参照できる。,なし,コンテスト告知サイト,コンテスト応募者(小中学生)
FUN-002,応募,応募情報入力フォーム表示,応募者が応募情報を入力するためのフォームを表示する。,なし,応募情報入力フォーム,コンテスト応募者(小中学生)
FUN-003,応募,応募情報登録,応募者が入力した情報を登録する。必須項目は氏名、年齢、eメールアドレス、電話番号、応募作品のプログラムファイル（sb3）、作品タイトル。任意項目は作品の内容説明文。,"氏名, 年齢, eメールアドレス, 電話番号, sb3ファイル, 作品タイトル, 作品内容説明文(任意)",応募情報,コンテスト応募者(小中学生)
FUN-004,応募,応募受付メール送信,応募完了後、応募者へ受付メールを送信する。メールには名前、作品名、審査結果発表日時を記載する。,応募情報,受付メール,コンテスト応募者(小中学生)
FUN-005,応募,応募サイト情報表示,応募サイトに応募締め切り、審査結果発表日、プライバシーポリシー、主催者情報、主催者の思いを表示する。,なし,応募サイト情報,コンテスト応募者(小中学生)
FUN-006,審査,応募作品リスト表示,審査員が参照できる応募作品リストを表示する。各作品には、担当審査員、審査結果（15段階評価）、審査ステータス、審査開始日、審査完了日を付与する。,なし,応募作品リスト,コンテスト審査員
FUN-007,審査,審査員ログイン,審査員が審査サイトにログインする。,"審査員ID, パスワード",ログイン認証,コンテスト審査員
FUN-008,審査,審査サイトトップページ表示,審査サイトのトップページを表示する。応募作品一覧ページと個別作品ページへのリンクを表示する。,なし,審査サイトトップページ,コンテスト審査員
FUN-009,審査,応募作品一覧ページ表示,応募作品一覧ページを表示する。審査ステータスでフィルタリング可能とする。,なし,応募作品一覧ページ,コンテスト審査員
FUN-010,審査,個別作品ページ表示,個別作品ページを表示する。作品名、作品内容説明(あれば)、作品ファイル(sb3)、年齢を表示する。,作品ID,個別作品ページ,コンテスト審査員
FUN-011,審査,審査結果入力フォーム表示,個別作品ページに審査結果入力フォームを表示する。,作品ID,審査結果入力フォーム,コンテスト審査員
FUN-012,審査,審査結果登録,審査結果（作り込み度、ユニーク度、見た目度、フリーコメント）を登録する。,"作り込み度, ユニーク度, 見た目度, フリーコメント",審査結果,コンテスト審査員
FUN-013,審査,審査完了アニメーション表示,審査結果完了時に、審査を労うアニメーションを表示する。,なし,アニメーション,コンテスト審査員
FUN-014,その他,作品識別,同一応募者の複数作品を識別する。,なし,作品ID,コンテスト主催者
FUN-015,その他,応募情報ダウンロード制限,応募情報のうち、sb3ファイルを除く個人情報のダウンロードを制限する。,なし,ダウンロード制限,コンテスト主催者
FUN-016,その他,sb3ファイルダウンロード,審査サイトから応募作品のsb3ファイルをダウンロードする。,作品ID,sb3ファイル,コンテスト主催者
FUN-017,その他,応募サイトレスポンシブ対応,"応募サイトはPC, スマホ, タブレットに対応する。",デバイス,応募サイト,コンテスト応募者(小中学生)
FUN-018,その他,審査結果集計,審査結果を集計する。,審査結果,集計結果,コンテスト主催者
FUN-019,その他,結果発表,コンテストの結果発表を行う。,集計結果,結果発表,コンテスト主催者
FUN-020,その他,結果通知,応募者に結果を通知する,集計結果,結果通知,コンテスト応募者(小中学生)